record_id,title,abstract,journal,year,expected_classification,criterion_tested
04404155d5fc60f5f0df8dd5bc0cd796461b53b6,A machine learning model to predict heart failure readmission: toward optimal feature set.,"<h4>Background</h4>Hospital readmissions for heart failure patients remain high despite efforts to reduce them. Predictive modeling using big data provides opportunities to identify high-risk patients and inform care management. However, large datasets can constrain performance.<h4>Objective</h4>This study aimed to develop a machine learning based prediction model leveraging a nationwide hospitalization database to predict 30-day heart failure readmissions. Another objective of this study is to find the optimal feature set that leads to the highest AUC value in the prediction model.<h4>Material and methods</h4>Heart failure patient data was extracted from the 2020 Nationwide Readmissions Database. A heuristic feature selection process incrementally incorporated predictors into logistic regression and random forest models, which yields a maximum increase in the AUC metric. Discrimination was evaluated through accuracy, sensitivity, specificity and AUC.<h4>Results</h4>A total of 566,019 discharges with heart failure diagnosis were recognized. Readmission rate was 8.9% for same-cause and 20.6% for all-cause diagnoses. Random forest outperformed logistic regression, achieving AUCs of 0.607 and 0.576 for same-cause and all-cause readmissions respectively. Heuristic feature selection resulted in the identification of optimal feature sets including 20 and 22 variables from a pool of 30 and 31 features for the same-cause and all-cause datasets. Key predictors included age, payment method, chronic kidney disease, disposition status, number of ICD-10-CM diagnoses, and post-care encounters.<h4>Conclusion</h4>The proposed model attained discrimination comparable to prior analyses that used smaller datasets. However, reducing the sample enhanced performance, indicating big data complexity. Improved techniques like heuristic feature selection enabled effective leveraging of the nationwide data. This study provides meaningful insights into predictive modeling methodologies and influential features for forecasting heart failure readmissions.",Frontiers in artificial intelligence,2024.0,positive,classical_ml_logistic_regression_random_forest
a66a2d9387659574d5b9a6bc621715ab615c3368,Using Machine Learning to Predict Cognitive Impairment Among Middle-Aged and Older Chinese: A Longitudinal Study.,"<b>Objective:</b> To explore the predictive value of machine learning in cognitive impairment, and identify important factors for cognitive impairment. <b>Methods:</b> A total of 2,326 middle-aged and elderly people completed questionnaire, and physical examination evaluation at baseline, Year 2, and Year 4 follow-ups. A random forest machine learning (ML) model was used to predict the cognitive impairment at Year 2 and Year 4 longitudinally. Based on Year 4 cross-sectional data, the same method was applied to establish a prediction model and verify its longitudinal prediction accuracy for cognitive impairment. Meanwhile, the ability of random forest and traditional logistic regression model to longitudinally predict 2-year and 4-year cognitive impairment was compared. <b>Results:</b> Random forest models showed high accuracy for all outcomes at Year 2, Year 4, and cross-sectional Year 4 [AUC = 0.81, 0.79, 0.80] compared with logistic regression [AUC = 0.61, 0.62, 0.70]. Baseline physical examination (e.g., BMI, Blood pressure), biomarkers (e.g., cholesterol), functioning (e.g., functional limitations), demography (e.g., age), and emotional status (e.g., depression) characteristics were identified as the top ten important predictors of cognitive impairment. <b>Conclusion:</b> ML algorithms could enhance the prediction of cognitive impairment among the middle-aged and older Chinese for 4 years and identify essential risk markers.",International journal of public health,2023.0,positive,classical_ml_random_forest_vs_logistic_regression
4d99cca30b4a70f0abf536190a891d64c4eb3e22,Transfer learning for predicting conversion from mild cognitive impairment to dementia of Alzheimer's type based on a three-dimensional convolutional neural network.,"Dementia of Alzheimer's type (DAT) is associated with devastating and irreversible cognitive decline. Predicting which patients with mild cognitive impairment (MCI) will progress to DAT is an ongoing challenge in the field. We developed a deep learning model to predict conversion from MCI to DAT. Structural magnetic resonance imaging scans were used as input to a 3-dimensional convolutional neural network. The 3-dimensional convolutional neural network was trained using transfer learning; in the source task, normal control and DAT scans were used to pretrain the model. This pretrained model was then retrained on the target task of classifying which MCI patients converted to DAT. Our model resulted in 82.4% classification accuracy at the target task, outperforming current models in the field. Next, we visualized brain regions that significantly contribute to the prediction of MCI conversion using an occlusion map approach. Contributory regions included the pons, amygdala, and hippocampus. Finally, we showed that the model's prediction value is significantly correlated with rates of change in clinical assessment scores, indicating that the model is able to predict an individual patient's future cognitive decline. This information, in conjunction with the identified anatomical features, will aid in building a personalized therapeutic strategy for individuals with MCI.",Neurobiology of aging,2021.0,positive,deep_learning_cnn_transfer_learning
c08965cc010d8347cb7330d1a724a00c4ad269ca,An artificial intelligence grading system of apical periodontitis in cone-beam computed tomography data.,"<h4>Objectives</h4>In order to assist junior doctors in better diagnosing apical periodontitis (AP), an artificial intelligence AP grading system was developed based on deep learning (DL) and its reliability and accuracy were evaluated.<h4>Methods</h4>One hundred and twenty cone-beam computed tomography (CBCT) images were selected to construct a classification dataset with four categories, which were divided by CBCT periapical index (CBCTPAI), including normal periapical tissue, CBCTPAI 1-2, CBCTPAI 3-5, and young permanent teeth. Three classic algorithms (ResNet50/101/152) as well as one self-invented algorithm (PAINet) were compared with each other. PAINet were also compared with two recent Transformer-based models and three attention models. Their performance was evaluated by accuracy, precision, recall, balanced F score (F1-score), and the area under the macro-average receiver operating curve (AUC). Reliability was evaluated by Cohen's kappa to compare the consistency of model predicted labels with expert opinions.<h4>Results</h4>PAINet performed best among the four algorithms. The accuracy, precision, recall, F1-score, and AUC on the test set were 0.9333, 0.9415, 0.9333, 0.9336, and 0.9972, respectively. Cohen's kappa was 0.911, which represented almost perfect consistency.<h4>Conclusions</h4>PAINet can accurately distinguish between normal periapical tissues, CBCTPAI 1-2, CBCTPAI 3-5, and young permanent teeth. Its results were highly consistent with expert opinions. It can help junior doctors diagnose and score AP, reducing the burden. It can also be promoted in areas where experts are lacking to provide professional diagnostic opinions.",Dento maxillo facial radiology,2024.0,positive,deep_learning_transformer_comparison
5ac27c9d562ab68b9ba7d69e3bdcd8bad99cdfad,Enhancing Adverse Event Reporting With Clinical Language Models: Inpatient Falls.,"<h4>Aims</h4>To develop a method for computationally detecting fall events using clinical language models to complement existing self-reporting mechanisms.<h4>Design</h4>Retrospective observational study.<h4>Methods</h4>Text data were collected from the unstructured nursing notes of three hospitals' electronic health records and the Korean national patient safety reports, totalling 34,480 records covering the period from January 2015 to December 2019. Note-level labelling was conducted by two researchers with 95% agreement. Preprocessing data anonymisation and English translation were followed by semantic validation. Five language models based on pretrained Bidirectional Encoder Representations from Transformers (BERT) and Generative Pretrained Transformer (GPT)-4 with prompt programming were explored. Model performance was assessed using F measurements. Error analysis was conducted for the GPT-4 results.<h4>Results</h4>Fine-tuned BERT models with the English data set outperformed GPT-4, with Bio+Clinical BERT achieving the highest F1 score of 0.98. Fine-tuned Korean BERT with the Korean data set also reached an F1 score of 0.98, while GPT-4 achieved a competitive F1 score of 0.94. GPT-4 with prompt programming showed much higher F1 scores than GPT-4 with a standardised prompt for the English data set (0.85 vs. 0.39) and the Korean data set (0.94 vs. 0.03). The error analysis identified that the common misclassification patterns included fall history and homonyms, causing false positives and implicit expressions and missing contextual information, causing false negatives.<h4>Conclusion</h4>The clinical language model approach, if used alongside the existing self-reporting, promises to increase the chance of identifying the majority of factual falls without the need for additional chart reviews.<h4>Impact</h4>Inpatient falls are often underreported, with up to 91% of incidents missed in self-reports. Using language models, we identified a significant portion of these unreported falls, improving the accuracy of adverse event tracking while reducing the self-reporting burden on nurses.<h4>Patient or public contribution</h4>Not applicable.",Journal of advanced nursing,2025.0,positive,llm_bert_gpt4_finetuning
26a185c6d56ccad44bb5928898bf1176ef21f0d0,The Accuracy of Artificial Intelligence Models in Hand/Wrist Fracture and Dislocation Diagnosis: A Systematic Review and Meta-Analysis.,"<h4>Background</h4>Early and accurate diagnosis is critical to preserve function and reduce healthcare costs in patients with hand and wrist injury. As such, artificial intelligence (AI) models have been developed for the purpose of diagnosing fractures through imaging. The purpose of this systematic review and meta-analysis was to determine the accuracy of AI models in identifying hand and wrist fractures and dislocations.<h4>Methods</h4>Adhering to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses Diagnostic Test Accuracy guidelines, Ovid MEDLINE, Embase, and Cochrane Central Register of Controlled Trials were searched from their inception to October 10, 2023. Studies were included if they utilized an AI model (index test) for detecting hand and wrist fractures and dislocations in pediatric (<18 years) or adult (>18 years) patients through any radiologic imaging, with the reference standard established through image review by a medical expert. Results were synthesized through bivariate analysis. Risk of bias was assessed using the QUADAS-2 tool. This study was registered with PROSPERO (CRD42023486475). Certainty of evidence was assessed using Grading of Recommendations Assessment, Development, and Evaluation.<h4>Results</h4>A systematic review identified 36 studies. Most studies assessed wrist fractures (27.90%) through radiograph imaging (94.44%), with radiologists serving as the reference standard (66.67%). AI models demonstrated area under the curve (0.946), positive likelihood ratio (7.690; 95% confidence interval, 6.400-9.190), and negative likelihood ratio (0.112; 0.0848-0.145) in diagnosing hand and wrist fractures and dislocations. Examining only studies characterized by a low risk of bias, sensitivity analysis did not reveal any difference from the overall results. Overall certainty of evidence was moderate.<h4>Conclusion</h4>In demonstrating the accuracy of AI models in hand and wrist fracture and dislocation diagnosis, we have demonstrated that the potential use of AI in diagnosing hand and wrist fractures is promising.<h4>Level of evidence</h4>Level III. See Instructions for Authors for a complete description of levels of evidence.",JBJS reviews,2024.0,negative,systematic_review_of_ai_models_prisma
865acc8f24e24e2c3256c9f28663f7e2d32efd27,Preferred reporting items for systematic reviews and meta-analyses in ecology and evolutionary biology: a PRISMA extension.,"Since the early 1990s, ecologists and evolutionary biologists have aggregated primary research using meta-analytic methods to understand ecological and evolutionary phenomena. Meta-analyses can resolve long-standing disputes, dispel spurious claims, and generate new research questions. At their worst, however, meta-analysis publications are wolves in sheep's clothing: subjective with biased conclusions, hidden under coats of objective authority. Conclusions can be rendered unreliable by inappropriate statistical methods, problems with the methods used to select primary research, or problems within the primary research itself. Because of these risks, meta-analyses are increasingly conducted as part of systematic reviews, which use structured, transparent, and reproducible methods to collate and summarise evidence. For readers to determine whether the conclusions from a systematic review or meta-analysis should be trusted - and to be able to build upon the review - authors need to report what they did, why they did it, and what they found. Complete, transparent, and reproducible reporting is measured by 'reporting quality'. To assess perceptions and standards of reporting quality of systematic reviews and meta-analyses published in ecology and evolutionary biology, we surveyed 208 researchers with relevant experience (as authors, reviewers, or editors), and conducted detailed evaluations of 102 systematic review and meta-analysis papers published between 2010 and 2019. Reporting quality was far below optimal and approximately normally distributed. Measured reporting quality was lower than what the community perceived, particularly for the systematic review methods required to measure trustworthiness. The minority of assessed papers that referenced a guideline (~16%) showed substantially higher reporting quality than average, and surveyed researchers showed interest in using a reporting guideline to improve reporting quality. The leading guideline for improving reporting quality of systematic reviews is the Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) statement. Here we unveil an extension of PRISMA to serve the meta-analysis community in ecology and evolutionary biology: PRISMA-EcoEvo (version 1.0). PRISMA-EcoEvo is a checklist of 27 main items that, when applicable, should be reported in systematic review and meta-analysis publications summarising primary research in ecology and evolutionary biology. In this explanation and elaboration document, we provide guidance for authors, reviewers, and editors, with explanations for each item on the checklist, including supplementary examples from published papers. Authors can consult this PRISMA-EcoEvo guideline both in the planning and writing stages of a systematic review and meta-analysis, to increase reporting quality of submitted manuscripts. Reviewers and editors can use the checklist to assess reporting quality in the manuscripts they review. Overall, PRISMA-EcoEvo is a resource for the ecology and evolutionary biology community to facilitate transparent and comprehensively reported systematic reviews and meta-analyses.",Biological reviews of the Cambridge Philosophical Society,2021.0,negative,meta_science_prisma_reporting_not_about_ai
2f5e23bb01b5f1398d402727d3e3d9a116bd830d,Evaluation of the prediagnosis and management of ChatGPT-4.0 in clinical cases in cardiology.,"<b>Aim:</b> Evaluation of the performance of ChatGPT-4.0 in providing prediagnosis and treatment plans for cardiac clinical cases by expert cardiologists. <b>Methods:</b> 20 cardiology clinical cases developed by experienced cardiologists were divided into two groups according to preparation methods. Cases were reviewed and analyzed by the ChatGPT-4.0 program, and analyses of ChatGPT were then sent to cardiologists. Eighteen expert cardiologists evaluated the quality of ChatGPT-4.0 responses using Likert and Global quality scales. <b>Results:</b> Physicians rated case difficulty (median 2.00), revealing high ChatGPT-4.0 agreement to differential diagnoses (median 5.00). Management plans received a median score of 4, indicating good quality. Regardless of the difficulty of the cases, ChatGPT-4.0 showed similar performance in differential diagnosis (p: 0.256) and treatment plans (p: 0.951). <b>Conclusion:</b> ChatGPT-4.0 excels at delivering accurate management and demonstrates its potential as a valuable clinical decision support tool in cardiology.",Future cardiology,2024.0,negative,informal_llm_evaluation_not_developed
16104c0015dee20ea8c1427aaf03b2866ad439b9,The utility and accuracy of ChatGPT in providing post-operative instructions following tonsillectomy: A pilot study.,"<h4>Objective</h4>To investigate the utility of answers generated by ChatGPT, a large language model, to common questions parents have for their children following tonsillectomy.<h4>Methods</h4>Twenty Otolaryngology residents anonymously submitted common questions asked by parents of pediatric patients following tonsillectomy. After identifying the 16 most common questions via consensus-based approach, we asked ChatGPT to generate responses to these queries. Satisfaction with the AI-generated answers was rated from 1 (Worst) to 5 (Best) by an expert panel of 3 pediatric Otolaryngologists.<h4>Results</h4>The distribution of questions across the five most common domains, their mean satisfaction scores, and their Krippendorf's interrater reliability coefficient were: Pain management [6, (3.67), (0.434)], Complications [4, (3.58), (-0.267)], Diet [3, (4.33), (-0.357)], Physical Activity [2, (4.33), (-0.318)], and Follow-up [1, (2.67), (-0.250)]. The panel noted that answers for diet, bleeding complications, and return to school were thorough. Pain management and follow-up recommendations were inaccurate, including a recommendation to prescribe codeine to children despite a black-box warning, and a suggested post-operative follow-up at 1 week, rather than the customary 2-4 weeks for our panel.<h4>Conclusion</h4>Although ChatGPT can provide accurate answers for common patient questions following tonsillectomy, it sometimes provides eloquently written inaccurate information. This may lead to patients using AI-generated medical advice contrary to physician advice. The inaccuracy in pain management answers likely reflects regional practice variability. If trained appropriately, ChatGPT could be an excellent resource for Otolaryngologists and patients to answer questions in the postoperative period. Future research should investigate if Otolaryngologist-trained models can increase the accuracy of responses.",International journal of pediatric otorhinolaryngology,2024.0,negative,informal_llm_use_patient_instructions
cc1ed4d9f063d6a50fa231ac8199e06498f2da61,"Machine learning approaches for predicting and diagnosing chronic kidney disease: current trends, challenges, solutions, and future directions.","Chronic Kidney Disease (CKD) represents a significant global health challenge, contributing to increased morbidity and mortality rates. This review paper explores the current landscape of machine learning (ML) techniques employed in CKD prediction and diagnosis, highlighting recent trends, inherent challenges, innovative solutions, and future directions. Through an extensive literature survey, we identified key limitations and challenges, including the use of small datasets, the absence of stage-specific predictions, insufficient focus on model interpretability, and a lack of discussions on safeguarding patient privacy in managing sensitive CKD data. We considered these limitations and challenges as research gaps, and this review paper aims to address them. We emphasize the potential of Generative AI to augment dataset sizes, thereby enhancing model performance and reliability. To address the lack of stage-specific predictions, we highlight the need for effective multi-class models to accurately predict CKD stages, enabling tailored treatments and improved patient outcomes. Furthermore, we discuss the critical importance of model interpretability, utilizing methods such as SHAP (SHapley Additive exPlanations) and LIME (Local Interpretable Model-agnostic Explanations) to ensure transparency and trust among healthcare professionals. Privacy concerns surrounding sensitive patient data are also addressed. We present innovative privacy-preserving solutions using technologies, such as homomorphic encryption, federated learning, and blockchain. These solutions facilitate collaboration across institutions while maintaining patient confidentiality and addressing challenges related to limited generalizability and reproducibility in CKD prediction. This review informs healthcare professionals and researchers about advancements in ML for CKD prediction, to improve patient outcomes and address research gaps.",International urology and nephrology,2025.0,negative,review_of_ml_field_not_primary_research
